"id","personid","pred_inS","pred_inS_alt","pred_inS_drop"
"e_639","e_639","0.408814567224423","0.408423267390016","0.408814567224423"
"e_640","e_640","0.283176451311988","0.280559875533768","0.283176451311988"
"e_641","e_641","0.349407901095468","0.347033501532152","0.349407901095468"
"e_642","e_642","0.289532476788636","0.292660145195147","0.289532476788636"
"e_643","e_643","0.395544257956737","0.396067517439106","0.395544257956737"
"e_644","e_644","0.482338467637249","0.479227773784238","0.482338467637249"
"e_646","e_646","0.452878607336386","0.451481876651977","0.452878607336386"
"e_648","e_648","0.444241891208917","0.443392868767846","0.444241891208917"
"e_649","e_649","0.44496493967332","0.442937635997435","0.44496493967332"
"e_650","e_650","0.442963698238972","0.440090784418302","0.442963698238972"
"e_654","e_654","0.463524082739978","0.463369704745304","0.463524082739978"
"e_655","e_655","0.430042495391286","0.432251281842927","0.430042495391286"
"e_668","e_668","0.320500506487058","0.321176533472695","0.320500506487058"
"e_67","e_67","0.416933563377787","0.416337118208414","0.416933563377787"
"e_670","e_670","0.416683393316941","0.417839111348597","0.416683393316941"
"e_676","e_676","0.380702786393534","0.383068691177622","0.380702786393534"
"e_677","e_677","0.448734078816645","0.448315342256506","0.448734078816645"
"e_678","e_678","0.42307472818555","0.42443304378266","0.42307472818555"
"e_679","e_679","0.372531987811143","0.369118140073293","0.372531987811143"
"e_682","e_682","0.473477029433165","0.472733061561905","0.473477029433165"
"e_685","e_685","0.424925589973758","0.423673086263045","0.424925589973758"
"e_686","e_686","0.292989833373266","0.293572920506982","0.292989833373266"
"e_688","e_688","0.4165217313764","0.417586556152262","0.4165217313764"
"e_689","e_689","0.46982034851526","0.469451962570247","0.46982034851526"
"e_69","e_69","0.355505673400502","0.353222327945141","0.355505673400502"
"e_690","e_690","0.494453891256276","0.491683310042121","0.494453891256276"
"e_693","e_693","0.286092217154439","0.286922218414565","0.286092217154439"
"e_696","e_696","0.3049328409011","0.308976262659872","0.3049328409011"
"e_699","e_699","0.31318824503628","0.31084255315276","0.31318824503628"
"e_701","e_701","0.469805289031605","0.468658575392671","0.469805289031605"
"e_704","e_704","0.43427154579625","0.435256985549219","0.43427154579625"
"e_709","e_709","0.474828542285844","0.473175753749121","0.474828542285844"
"e_713","e_713","0.45446217868976","0.454824468483249","0.45446217868976"
"e_714","e_714","0.419865321881525","0.41972348377129","0.419865321881525"
"e_715","e_715","0.486121130420226","0.483807873254256","0.486121130420226"
"e_716","e_716","0.436495611273165","0.438973335577569","0.436495611273165"
"e_717","e_717","0.473466269936709","0.475988297192902","0.473466269936709"
"e_718","e_718","0.466157028766722","0.469209000680878","0.466157028766722"
"e_72","e_72","0.350482178077518","0.354260852704479","0.350482178077518"
"e_720","e_720","0.36331493869472","0.361805962676223","0.36331493869472"
"e_723","e_723","0.358742266165362","0.357358093702956","0.358742266165362"
"e_726","e_726","0.348375554670178","0.34915399354085","0.348375554670178"
"e_729","e_729","0.471488699438448","0.473366363010236","0.471488699438448"
"e_73","e_73","0.43134787448633","0.430335776541301","0.43134787448633"
"e_731","e_731","0.338249338611472","0.336987756125059","0.338249338611472"
"e_732","e_732","0.351463393905086","0.349620922908553","0.351463393905086"
"e_734","e_734","0.43222984206296","0.436646856065644","0.43222984206296"
"e_735","e_735","0.450657503726355","0.443183079380158","0.450657503726355"
"e_736","e_736","0.426234446976978","0.42573505851553","0.426234446976978"
"e_737","e_737","0.446104077271148","0.446217952994883","0.446104077271148"
